Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., 
12-21-2022-22-27-21.289,3, 0.8094824,0.047515,15084, Foreign,
12-21-2022-22-27-21.998,3, 0.1154231,0.035594,15084, Foreign,
12-21-2022-22-27-22.099,3, 0.1347003,0.041739,15084, Foreign,
12-21-2022-22-27-22.300,3, 0.272063,0.035404,15084, Foreign,
12-21-2022-22-27-22.603,3, 0.1739506,0.04024,15084, Foreign,
12-21-2022-22-27-20.887,3, 1.8936066999999999,0.035897,15084, Foreign,
12-21-2022-22-27-21.698,3, 1.1314955,0.045979,6348, Foreign,
12-21-2022-22-27-21.189,3, 1.6429561000000001,0.039032,6348, Foreign,
12-21-2022-22-27-23.008,3, 0.1246138,0.040098,15084, Foreign,
12-21-2022-22-27-23.312,3, 0.1189542,0.039943,15084, Foreign,
12-21-2022-22-27-22.199,3, 1.2415635,0.05412,6348, Foreign,
12-21-2022-22-27-22.503,3, 1.007351,0.041044,15084, Foreign,
12-21-2022-22-27-23.108,3, 0.4112607,0.040861,15084, Foreign,
12-21-2022-22-27-23.412,3, 0.1800112,0.043556,15084, Foreign,
12-21-2022-22-27-23.517,3, 0.136247,0.046537,15084, Foreign,
12-21-2022-22-27-23.618,3, 0.1248627,0.041665,15084, Foreign,
12-21-2022-22-27-22.402,3, 1.4558526,0.049403,6379, Foreign,
12-21-2022-22-27-20.163,3, 3.7561171,0.040905,1980, Foreign,
12-21-2022-22-27-23.820,3, 0.1188579,0.039174,15084, Foreign,
12-21-2022-22-27-24.126,3, 0.1141059,0.039358,15084, Foreign,
12-21-2022-22-27-23.209,3, 1.2356286,0.049769,6348, Foreign,
12-21-2022-22-27-23.921,3, 0.5410852,0.036581,15084, Foreign,
12-21-2022-22-27-22.706,3, 2.0590375,0.052141,15084, Foreign,
12-21-2022-22-27-23.718,3, 1.1121517,0.035904,6348, Foreign,
12-21-2022-22-27-24.025,3, 0.8058707,0.036295,15084, Foreign,
12-21-2022-22-27-24.432,3, 0.4009292,0.036251,15084, Foreign,
12-21-2022-22-27-22.806,3, 2.0275627,0.044856,15084, Foreign,
12-21-2022-22-27-24.533,3, 0.4655792,0.040317,15084, Foreign,
12-21-2022-22-27-24.939,3, 0.1281534,0.040844,15084, Foreign,
12-21-2022-22-27-25.142,3, 0.1261689,0.043463,15084, Foreign,
12-21-2022-22-27-25.348,3, 0.1045413,0.035091,15084, Foreign,
12-21-2022-22-27-24.331,3, 1.1631544,0.034737,6348, Foreign,
12-21-2022-22-27-25.246,3, 0.4386415,0.039151,15084, Foreign,
12-21-2022-22-27-25.651,3, 0.1161829,0.03762,15084, Foreign,
12-21-2022-22-27-25.752,3, 0.1247704,0.038126,15084, Foreign,
12-21-2022-22-27-25.450,3, 0.4617441,0.037262,15084, Foreign,
12-21-2022-22-27-24.637,3, 1.2800297999999999,0.048648,15084, Foreign,
12-21-2022-22-27-25.550,3, 0.4298795,0.035242,15084, Foreign,
12-21-2022-22-27-24.839,3, 1.1815977,0.040877,6348, Foreign,
12-21-2022-22-27-26.057,3, 0.1124066,0.039691,15084, Foreign,
12-21-2022-22-27-26.158,3, 0.2405999,0.037128,15084, Foreign,
12-21-2022-22-27-25.956,3, 0.5532732,0.047432,15084, Foreign,
12-21-2022-22-27-26.461,3, 0.1301402,0.040517,15084, Foreign,
12-21-2022-22-27-26.561,3, 0.1274579,0.051023,15084, Foreign,
12-21-2022-22-27-26.663,3, 0.1040897,0.032853,15084, Foreign,
12-21-2022-22-27-26.361,3, 0.4196645,0.041928,15084, Foreign,
