Time of the generation of the data point., The number of round trips measured by this data point., The duration for this measurement., The underlying connection's RTT at probe time., The underlying connection's congestion window at probe time., The type of the probe., The underlying connection of the probe., 
12-21-2022-23-05-23.083,1, 0.4647808,0.045837,1170432, SelfUp,1, 
12-21-2022-23-05-23.494,1, 0.0773278,0.035839,42742, SelfDown,0, 
12-21-2022-23-05-23.291,1, 0.2857719,0.045837,1170432, SelfUp,1, 
12-21-2022-23-05-23.494,1, 0.0827734,0.045837,1170432, SelfUp,1, 
12-21-2022-23-05-23.392,1, 0.1852154,0.045837,1170432, SelfUp,1, 
12-21-2022-23-05-23.494,1, 0.090397,0.033553,21760, SelfDown,2, 
12-21-2022-23-05-23.494,1, 0.0937531,0.033207,44369, SelfDown,1, 
12-21-2022-23-05-23.494,1, 0.104778,0.04013,1170432, SelfUp,0, 
12-21-2022-23-05-23.595,1, 0.0382725,0.039866,1170432, SelfUp,0, 
12-21-2022-23-05-23.595,1, 0.0382725,0.034937,307174, SelfUp,3, 
12-21-2022-23-05-23.494,1, 0.1528175,0.03689,14570, SelfDown,3, 
12-21-2022-23-05-23.595,1, 0.0813509,0.035661,457567, SelfUp,2, 
12-21-2022-23-05-23.595,1, 0.0941545,0.037316,1170432, SelfUp,1, 
12-21-2022-23-05-23.595,1, 0.1220203,0.036196,44394, SelfDown,1, 
12-21-2022-23-05-23.696,1, 0.0356993,0.036095,391496, SelfUp,3, 
12-21-2022-23-05-23.696,1, 0.0356993,0.036935,1170432, SelfUp,0, 
12-21-2022-23-05-23.696,1, 0.0366992,0.033233,1170432, SelfUp,1, 
12-21-2022-23-05-23.595,1, 0.1431259,0.035583,26257, SelfDown,2, 
12-21-2022-23-05-23.696,1, 0.0426411,0.03605,464355, SelfUp,2, 
12-21-2022-23-05-23.595,1, 0.1441724,0.037757,15092, SelfDown,3, 
12-21-2022-23-05-23.595,1, 0.1626299,0.0343,42784, SelfDown,0, 
12-21-2022-23-05-23.696,1, 0.0642582,0.033015,47204, SelfDown,1, 
12-21-2022-23-05-23.696,1, 0.0683947,0.0343,42784, SelfDown,0, 
12-21-2022-23-05-23.696,1, 0.0723045,0.032759,27330, SelfDown,2, 
12-21-2022-23-05-23.796,1, 0.0340516,0.029051,481433, SelfUp,2, 
12-21-2022-23-05-23.796,1, 0.0345735,0.032763,1170432, SelfUp,1, 
12-21-2022-23-05-23.796,1, 0.0496303,0.037039,1170432, SelfUp,0, 
12-21-2022-23-05-23.696,1, 0.2200571,0.035623,14564, SelfDown,3, 
12-21-2022-23-05-23.910,1, 0.0358528,0.037914,1170432, SelfUp,0, 
12-21-2022-23-05-23.796,1, 0.1647052,0.039494,30500, SelfDown,0, 
12-21-2022-23-05-23.910,1, 0.0725028,0.039494,30500, SelfDown,0, 
12-21-2022-23-05-23.796,1, 0.1909546,0.033367,15303, SelfDown,3, 
12-21-2022-23-05-23.796,1, 0.1930451,0.036441,36800, SelfDown,1, 
12-21-2022-23-05-23.796,1, 0.1930451,0.034463,19217, SelfDown,2, 
12-21-2022-23-05-23.910,1, 0.0790776,0.034463,19217, SelfDown,2, 
12-21-2022-23-05-23.910,1, 0.0827478,0.033367,15303, SelfDown,3, 
12-21-2022-23-05-23.910,1, 0.083338,0.0381,1170432, SelfUp,1, 
12-21-2022-23-05-23.910,1, 0.0947305,0.036441,36800, SelfDown,1, 
12-21-2022-23-05-23.796,1, 0.2385258,0.034446,349672, SelfUp,3, 
12-21-2022-23-05-23.910,1, 0.1250802,0.034446,349672, SelfUp,3, 
12-21-2022-23-05-23.910,1, 0.1406122,0.044644,497873, SelfUp,2, 
12-21-2022-23-05-24.010,1, 0.0413592,0.038882,38577, SelfDown,1, 
12-21-2022-23-05-24.010,1, 0.096183,0.035502,350186, SelfUp,3, 
12-21-2022-23-05-24.010,1, 0.1142677,0.039402,504109, SelfUp,2, 
12-21-2022-23-05-24.113,1, 0.0379657,0.035977,350700, SelfUp,3, 
12-21-2022-23-05-24.113,1, 0.0405768,0.039536,504113, SelfUp,2, 
12-21-2022-23-05-24.010,1, 0.1629267,0.036492,32062, SelfDown,0, 
12-21-2022-23-05-24.113,1, 0.0626281,0.03316,1170432, SelfUp,0, 
12-21-2022-23-05-24.010,1, 0.1653278,0.03316,1170432, SelfUp,0, 
12-21-2022-23-05-24.113,1, 0.1018827,0.03593,43052, SelfDown,1, 
12-21-2022-23-05-24.010,1, 0.2082207,0.032416,20075, SelfDown,3, 
12-21-2022-23-05-24.113,1, 0.1120108,0.027562,36635, SelfDown,0, 
12-21-2022-23-05-24.214,1, 0.0349015,0.032276,1170432, SelfUp,0, 
12-21-2022-23-05-24.214,1, 0.0349015,0.044397,519035, SelfUp,2, 
12-21-2022-23-05-24.214,1, 0.0356147,0.040867,351886, SelfUp,3, 
12-21-2022-23-05-24.010,1, 0.2435414,0.032591,25490, SelfDown,2, 
12-21-2022-23-05-24.113,1, 0.1408417,0.032591,25490, SelfDown,2, 
12-21-2022-23-05-24.010,1, 0.2739208,0.043752,1170432, SelfUp,1, 
12-21-2022-23-05-24.113,1, 0.1712211,0.043752,1170432, SelfUp,1, 
12-21-2022-23-05-24.214,1, 0.0703436,0.043752,1170432, SelfUp,1, 
12-21-2022-23-05-24.113,1, 0.2225238,0.034053,22027, SelfDown,3, 
12-21-2022-23-05-24.214,1, 0.123155,0.035398,44030, SelfDown,1, 
12-21-2022-23-05-24.315,1, 0.0398694,0.037608,1170432, SelfUp,0, 
12-21-2022-23-05-24.315,1, 0.0398694,0.035586,536648, SelfUp,2, 
12-21-2022-23-05-24.315,1, 0.0404412,0.038521,353645, SelfUp,3, 
12-21-2022-23-05-24.315,1, 0.0404412,0.042695,1170432, SelfUp,1, 
12-21-2022-23-05-24.214,1, 0.1504707,0.034211,27225, SelfDown,2, 
12-21-2022-23-05-24.214,1, 0.1548314,0.03676,36658, SelfDown,0, 
12-21-2022-23-05-24.315,1, 0.1114562,0.036016,37725, SelfDown,0, 
12-21-2022-23-05-24.315,1, 0.1119831,0.035162,28251, SelfDown,2, 
12-21-2022-23-05-24.416,1, 0.0371236,0.035714,549084, SelfUp,2, 
12-21-2022-23-05-24.315,1, 0.1434608,0.033842,48683, SelfDown,1, 
12-21-2022-23-05-24.214,1, 0.2768884,0.034766,25381, SelfDown,3, 
12-21-2022-23-05-24.315,1, 0.1758103,0.034766,25381, SelfDown,3, 
12-21-2022-23-05-24.416,1, 0.0839242,0.036805,356075, SelfUp,3, 
12-21-2022-23-05-24.416,1, 0.0892953,0.036342,1170432, SelfUp,0, 
12-21-2022-23-05-24.416,1, 0.0892953,0.03709,1170432, SelfUp,1, 
12-21-2022-23-05-24.416,1, 0.111543,0.032259,51120, SelfDown,1, 
12-21-2022-23-05-24.416,1, 0.1207849,0.033099,40712, SelfDown,0, 
12-21-2022-23-05-24.523,1, 0.0339227,0.035371,563346, SelfUp,2, 
12-21-2022-23-05-24.523,1, 0.0339227,0.037446,1170432, SelfUp,0, 
12-21-2022-23-05-24.523,1, 0.0339227,0.033471,357225, SelfUp,3, 
12-21-2022-23-05-24.523,1, 0.0339227,0.038434,1170432, SelfUp,1, 
12-21-2022-23-05-24.416,1, 0.1636133,0.034396,28067, SelfDown,3, 
12-21-2022-23-05-24.523,1, 0.0559468,0.035188,42351, SelfDown,0, 
12-21-2022-23-05-24.523,1, 0.0969578,0.034106,52651, SelfDown,1, 
12-21-2022-23-05-24.416,1, 0.2369838,0.034226,31593, SelfDown,2, 
12-21-2022-23-05-24.523,1, 0.1298887,0.034226,31593, SelfDown,2, 
12-21-2022-23-05-24.523,1, 0.1303928,0.034396,28067, SelfDown,3, 
12-21-2022-23-05-24.624,1, 0.0360773,0.038019,1170432, SelfUp,0, 
12-21-2022-23-05-24.624,1, 0.037108,0.034204,359298, SelfUp,3, 
12-21-2022-23-05-24.624,1, 0.0449108,0.037406,575006, SelfUp,2, 
12-21-2022-23-05-24.624,1, 0.0772824,0.036958,53042, SelfDown,1, 
12-21-2022-23-05-24.624,1, 0.0997268,0.035246,1170432, SelfUp,1, 
12-21-2022-23-05-24.724,1, 0.0376642,0.036741,362395, SelfUp,3, 
12-21-2022-23-05-24.724,1, 0.0376642,0.035789,1170432, SelfUp,0, 
12-21-2022-23-05-24.724,1, 0.0383467,0.035674,1170432, SelfUp,1, 
12-21-2022-23-05-24.624,1, 0.1616667,0.036013,30871, SelfDown,3, 
